term,combined score,date,score category
irish party,0.7171932642962694,1892,unique neutral score
party,0.5492315530897656,1892,unique neutral score
long,0.5080076155611515,1892,unique high sentiment score
irish people,0.4555250652810862,1892,unique high sentiment score
public,0.4373164960988842,1892,unique high sentiment score
years,0.3669504486562578,1892,unique high sentiment score
people,0.3406242519835201,1892,unique high sentiment score
