term,score,date
parnell,15.234897910800006,1876
men,6.888009998128368,1876
question,6.07799644934937,1876
man,6.071121929682257,1876
irishman,5.255546694483428,1876
fact,4.73716782544016,1876
years,4.623165822821473,1876
chairman,4.126471364780593,1876
subject,3.880783836204837,1876
taken,3.729883312518916,1876
clause,3.579117963962587,1876
committee,3.475803366195706,1876
matter,3.459862894010493,1876
motion,3.385568955640996,1876
gave,3.336180973072454,1876
head,3.300505205879047,1876
effect,2.988115598342105,1876
statement,2.906460533604627,1876
time,2.8703985063866884,1876
power,2.793630600874147,1876
attention,2.7647208802529044,1876
given,2.649700723582407,1876
vote,2.4782944833645004,1876
secretary,2.42435512305309,1876
right,2.3481587237065598,1876
reference,2.3222514695837844,1876
allowed,2.295051137358512,1876
local,2.290859987251878,1876
appeared,2.123123323256987,1876
meath,2.0679869572685114,1876
county,2.030765730743992,1876
commons,1.8648296913942022,1876
order,1.827553545299042,1876
act,1.8250852274139717,1876
several,1.8132853486614566,1876
asked,1.8032221780228754,1876
day,1.7284959616933517,1876
office,1.658549836250782,1876
home,1.6060085904004142,1876
forward,1.6000721762659516,1876
yet,1.5300506283825444,1876
notice,1.5201723904352482,1876
irish,1.5155679667755022,1876
dublin,1.488850007911613,1876
gentlemen,1.4853532145526662,1876
find,1.4848533114182119,1876
wished,1.4636930073123187,1876
votes,1.434167502026124,1876
speech,1.411562302394719,1876
majority,1.3691342848765151,1876
