term,score,date
parnell,17.49623767697687,1876
question,6.054571922247959,1876
man,5.990295574954287,1876
fact,5.455978321956694,1876
chairman,5.319098247975266,1876
got,4.978787084648386,1876
irishman,4.961767914995399,1876
men,4.792811096501055,1876
years,4.652226411919375,1876
vote,4.453042378987567,1876
matter,3.980574377194655,1876
secretary,3.6839782147112814,1876
irish,3.681783095783037,1876
gentlemen,3.489964488805378,1876
gave,3.2756297758108097,1876
believed,3.1830267180416927,1876
home,3.1722699267545296,1876
subject,3.1499805477277274,1876
meath,2.9729904577020845,1876
time,2.827716584238638,1876
government,2.8249287636556497,1876
country,2.7493941113348033,1876
right,2.632883803959578,1876
county,2.5952232798944044,1876
order,2.5552030392684104,1876
committee,2.5360060844312216,1876
statement,2.517142981909277,1876
power,2.5169152543430817,1876
catholic,2.4954088494669504,1876
clause,2.4742573038602376,1876
found,2.439013736468,1876
taken,2.315494283202585,1876
act,2.302357048359348,1876
wished,2.1620923502468443,1876
prevent,2.15532362967758,1876
asked,2.1368944592974657,1876
proceedings,2.024150040679916,1876
opinion,2.0,1876
therefore,2.0,1876
find,1.9686187755993596,1876
ireland,1.8784486382748071,1876
several,1.8266297765749429,1876
nothing,1.7841282445281434,1876
first,1.6662878293313215,1876
two,1.6605803352830804,1876
division,1.6265208469454353,1876
year,1.6108479372127305,1876
night,1.5254440639461047,1876
office,1.408646981093393,1876
lord,1.3696602370336506,1876
