term,score,date
ireland,21.071737598895552,1880
people,16.702661266257564,1880
country,12.45436111777597,1880
government,11.753929364729146,1880
irish,11.504094642723203,1880
land,10.650729774968438,1880
system,8.748248188802439,1880
famine,8.514767285369343,1880
landlords,8.342004814837287,1880
time,8.16145400894789,1880
opportunity,7.197648901719013,1880
right,6.886244637510978,1880
bill,6.796887028598824,1880
work,6.611575182322028,1880
america,6.476775342789606,1880
question,6.0184834524883355,1880
secretary,5.999348376337254,1880
good,5.840982673149786,1880
lord,5.693781041421399,1880
act,5.415897802784432,1880
take,5.3542112656335314,1880
although,5.203726610995633,1880
purpose,5.185410953820489,1880
public,5.054007250960003,1880
money,4.896603484024893,1880
large,4.7828831169813775,1880
without,4.7376124921947085,1880
noble,4.691853854477032,1880
opinion,4.586915312216717,1880
felt,4.580936572456697,1880
order,4.56140660223614,1880
entitled,4.415412544153196,1880
able,4.384972165488522,1880
poor,4.347863886531228,1880
irish people,4.335619961678315,1880
tenants,4.293361883658945,1880
possible,4.258075693855451,1880
cause,4.208448830108487,1880
sympathy,4.191276206268451,1880
desire,4.070453233479408,1880
tenant,4.068571205334599,1880
power,4.058814967390792,1880
parnell,3.8641164957318743,1880
fair,3.862255711105499,1880
wish,3.816884473630634,1880
help,3.778808471556186,1880
years,3.650997053447082,1880
interest,3.544869011623913,1880
feel,3.409821825520542,1880
impossible,3.3946438573782927,1880
