term,score,date
ireland,45.480640362985106,1880
land,29.33830144443846,1880
government,26.378826610364005,1880
parnell,25.54978253343938,1880
people,24.970677743769595,1880
landlords,19.76779486151579,1880
system,19.648248188544613,1880
bill,18.88760316763026,1880
irish,17.24373401752137,1880
right,16.798694286102258,1880
question,16.61225735522831,1880
money,16.17571685479676,1880
time,14.73925129359721,1880
tenants,14.24459337042019,1880
proposed,13.822278457025627,1880
america,11.666578033316235,1880
act,10.639279165519989,1880
wished,10.276298374958051,1880
committee,10.246170007798986,1880
country,9.548746334117203,1880
two,9.46169224065953,1880
years,9.258765545918031,1880
asked,8.795851800248895,1880
take,8.762149498067421,1880
clause,8.756651853515795,1880
pay,8.455454410125622,1880
relief,8.374566394706207,1880
law,8.278792064381081,1880
position,8.232452630002951,1880
go,8.053616296844663,1880
new,7.976058823877925,1880
rent,7.930850531780016,1880
english,7.888818452438459,1880
work,7.660935284822298,1880
men,7.491077130751896,1880
given,7.370195850789598,1880
state,7.306787515658928,1880
public,7.25929280448587,1880
without,7.225207564538324,1880
chief secretary,7.1533492570002375,1880
tenant,7.050974450158294,1880
order,7.0384202532798685,1880
chief,7.038246994741026,1880
per,6.921702508447449,1880
secretary,6.8647826693851774,1880
purpose,6.835810869172616,1880
already,6.803951997924927,1880
therefore,6.742124583899304,1880
information,6.6305412165194975,1880
next,6.315269004152396,1880
